               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.022836,            0.010008,                   0,             0.88698,             0.77895,              0.8147,             0.47634,            0.037349,             0.01022,                   0,            0.001816,            0.001816,            0.001816
                 126,             0.02357,            0.012194,                   0,             0.89147,             0.77814,             0.81641,              0.4686,            0.037667,             0.01022,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.022645,           0.0098015,                   0,             0.87269,             0.76842,             0.81578,             0.47411,            0.036854,            0.010274,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.021483,            0.011575,                   0,             0.85969,             0.77895,             0.81809,             0.47304,            0.037381,            0.010304,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.022395,            0.010245,                   0,             0.89088,             0.75789,             0.82269,             0.48032,            0.035967,            0.010236,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.022961,            0.010511,                   0,             0.90755,             0.75789,             0.82214,               0.481,            0.037304,             0.01032,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.021985,            0.010219,                   0,             0.89864,             0.75789,              0.8272,             0.48431,            0.035899,            0.010396,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.022147,            0.010925,                   0,              0.8935,             0.74737,               0.826,             0.48304,            0.034543,            0.010411,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.021149,            0.010708,                   0,              0.9036,             0.74737,             0.82093,             0.48063,            0.035498,            0.010468,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.022849,            0.011766,                   0,             0.90668,             0.74737,             0.81985,             0.48572,            0.035422,            0.010459,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.022325,            0.011564,                   0,             0.91083,             0.75266,             0.81447,             0.49275,            0.035921,            0.010502,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.021556,            0.011085,                   0,             0.92233,             0.75789,             0.81521,             0.49296,            0.036368,            0.010487,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.021231,            0.011189,                   0,             0.91505,             0.74737,             0.81512,              0.4898,            0.034982,             0.01036,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.021745,           0.0094224,                   0,             0.92261,             0.75293,             0.81741,             0.48437,            0.035381,             0.01042,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.021058,            0.010164,                   0,             0.90434,             0.75789,             0.81664,             0.48885,             0.03466,            0.010457,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.022514,           0.0099047,                   0,             0.90198,             0.75789,             0.81301,             0.48842,            0.033391,             0.01044,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.021917,           0.0093629,                   0,             0.90535,             0.75789,             0.81382,              0.4903,            0.034978,            0.010481,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.020214,           0.0096294,                   0,             0.90814,             0.75789,             0.81536,              0.4857,            0.034895,            0.010463,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.020977,            0.010389,                   0,             0.90703,             0.75789,             0.81308,             0.49529,            0.035098,            0.010467,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.021129,            0.010584,                   0,             0.90102,             0.76656,             0.81336,             0.49745,            0.035669,            0.010501,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.020743,            0.008883,                   0,             0.90836,             0.75789,              0.8139,             0.49005,            0.035533,             0.01052,                   0,            0.000496,            0.000496,            0.000496
                 146,             0.02124,           0.0099502,                   0,             0.89989,             0.75701,             0.81219,             0.49108,            0.035839,            0.010576,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.021332,           0.0093412,                   0,             0.89607,             0.75789,             0.81135,             0.49391,            0.036013,            0.010547,                   0,            0.000364,            0.000364,            0.000364
                 148,             0.02171,            0.010166,                   0,             0.89996,             0.75789,             0.81072,             0.49229,            0.036261,            0.010576,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.020972,             0.01094,                   0,             0.88012,             0.75789,             0.81077,             0.49232,            0.036326,            0.010594,                   0,            0.000232,            0.000232,            0.000232
